id,cve_ent,nom_ent,actividad,X,Y,
L41,24,San Luis Potosí,Ladrillera,-100.9699455,22.1931158,
L42,24,San Luis Potosí,Ladrillera,-100.97348466759078,22.19074399443342,
L43,24,San Luis Potosí,Ladrillera,-100.97106673034139,22.199753827856334,
L45,24,San Luis Potosí,Ladrillera,-100.96993580315959,22.192929213299053,
L46,24,San Luis Potosí,Ladrillera,-100.97412475898304,22.178184162021545,
L47,24,San Luis Potosí,Ladrillera,-100.96896294548881,22.19380386456361,
L48,24,San Luis Potosí,Ladrillera,-100.98703837451876,22.20196045301163,
L49,24,San Luis Potosí,Ladrillera,-100.997507,22.1973992,
L50,24,San Luis Potosí,Ladrillera,-100.98836051684802,22.191051465973096,
L51,24,San Luis Potosí,Ladrillera,-100.9825809,22.189322,
L53,24,San Luis Potosí,Ladrillera,-100.9712592,22.195166,
L54,24,San Luis Potosí,Ladrillera,-100.97619874568333,22.198488859745616,
L55,24,San Luis Potosí,Ladrillera,-100.9772364358137,22.19455951816073,
L57,24,San Luis Potosí,Ladrillera,-100.96913313315514,22.206394441377263,
L58,24,San Luis Potosí,Ladrillera,-100.9825809,22.1973992,
L59,24,San Luis Potosí,Ladrillera,-100.96997368966541,22.201038787777726,
L60,24,San Luis Potosí,Ladrillera,-100.9776032,22.1908392,
L61,24,San Luis Potosí,Ladrillera,-100.97786081665339,22.195154664266116,
L63,24,San Luis Potosí,Ladrillera,-100.9446936,22.1123819,
L64,24,San Luis Potosí,Ladrillera,-100.9700642,22.1969185,
L65,24,San Luis Potosí,Ladrillera,-100.97157941802256,22.175366359187766,
L67,24,San Luis Potosí,Ladrillera,-100.9712518,22.195575,
L68,24,San Luis Potosí,Ladrillera,-100.9482835,22.1883441,
L69,24,San Luis Potosí,Ladrillera,-100.9771669,22.19459799,
L70,24,San Luis Potosí,Ladrillera,-100.97777503199497,22.19107887089879,
L71,24,San Luis Potosí,Ladrillera,-100.97758610122183,22.19384140523393,
L72,24,San Luis Potosí,Ladrillera,-100.97653538536817,22.20463333504971,
DL1,24,San Luis Potosí,Ladrillera,-100.8912194,22.08252012,
DL2,24,San Luis Potosí,Ladrillera,-100.9761467,22.19095182,
DL3,24,San Luis Potosí,Ladrillera,-100.9871569,22.20174246,
DL4,24,San Luis Potosí,Ladrillera,-100.9697792,22.19278044,
DL5,24,San Luis Potosí,Ladrillera,-100.9709901,22.19290003,
DL6,24,San Luis Potosí,Ladrillera,-100.9699578,22.1924947,
DL7,24,San Luis Potosí,Ladrillera,-100.9707985,22.19274597,
DL8,24,San Luis Potosí,Ladrillera,-100.9706373,22.1927662,
DL9,24,San Luis Potosí,Ladrillera,-100.9711859,22.19257742,
DL10,24,San Luis Potosí,Ladrillera,-100.9699299,22.19226486,
DL11,24,San Luis Potosí,Ladrillera,-100.9687673,22.21241308,
DL12,24,San Luis Potosí,Ladrillera,-100.9647698,22.19985982,
DL13,24,San Luis Potosí,Ladrillera,-100.9756948,22.19751803,
DL14,24,San Luis Potosí,Ladrillera,-100.9770525,22.19332951,
DL15,24,San Luis Potosí,Ladrillera,-100.9795313,22.19604102,
DL16,24,San Luis Potosí,Ladrillera,-100.979348,22.19481266,
DL17,24,San Luis Potosí,Ladrillera,-100.9793164,22.19466696,
DL18,24,San Luis Potosí,Ladrillera,-100.9780597,22.19166122,
DL19,24,San Luis Potosí,Ladrillera,-100.9791458,22.19171173,
DL20,24,San Luis Potosí,Ladrillera,-100.9771091,22.19314188,
DL21,24,San Luis Potosí,Ladrillera,-100.9679689,22.21076164,
DL22,24,San Luis Potosí,Ladrillera,-100.970834,22.20475246,
DL23,24,San Luis Potosí,Ladrillera,-100.969893,22.19645446,
DL24,24,San Luis Potosí,Ladrillera,-100.9716424,22.19476494,
DL25,24,San Luis Potosí,Ladrillera,-100.9713925,22.19160821,
DL26,24,San Luis Potosí,Ladrillera,-100.9439793,22.10524485,
DL27,24,San Luis Potosí,Ladrillera,-100.993273,22.19313023,
DL28,24,San Luis Potosí,Ladrillera,-100.9691446,22.20808297,
DL29,24,San Luis Potosí,Ladrillera,-100.9692277,22.20926163,
DL30,24,San Luis Potosí,Ladrillera,-100.9711414,22.20616089,
DL31,24,San Luis Potosí,Ladrillera,-100.9769803,22.19213196,
DL32,24,San Luis Potosí,Ladrillera,-100.9682045,22.21241902,
DL33,24,San Luis Potosí,Ladrillera,-100.9436345,22.10483809,
DL34,24,San Luis Potosí,Ladrillera,-100.9772556,22.19233181,
DL35,24,San Luis Potosí,Ladrillera,-100.9661021,22.19627247,
DL36,24,San Luis Potosí,Ladrillera,-100.9695791,22.192792,
DL37,24,San Luis Potosí,Ladrillera,-100.9796665,22.19189817,
DL38,24,San Luis Potosí,Ladrillera,-100.9773248,22.1922618,
DL39,24,San Luis Potosí,Ladrillera,-100.9764972,22.19008465,
DL40,24,San Luis Potosí,Ladrillera,-100.9693385,22.21079363,
DL41,24,San Luis Potosí,Ladrillera,-100.97155,22.20387094,
DL42,24,San Luis Potosí,Ladrillera,-100.9767567,22.1949434,
DL43,24,San Luis Potosí,Ladrillera,-100.9775367,22.1915297,
DL44,24,San Luis Potosí,Ladrillera,-100.9700894,22.18758147,
DL45,24,San Luis Potosí,Ladrillera,-100.9787893,22.19319354,
DL46,24,San Luis Potosí,Ladrillera,-100.9708723,22.20484555,
DL47,24,San Luis Potosí,Ladrillera,-100.9802122,22.11807418,
DL48,24,San Luis Potosí,Ladrillera,-100.9722051,22.19832152,
DL49,24,San Luis Potosí,Ladrillera,-100.9714283,22.19183921,
DL50,24,San Luis Potosí,Ladrillera,-100.9787639,22.19098569,
